size;time
64200;28
64300;25
64400;24
64500;24
64600;24
64700;24
64800;24
64900;24
65000;24
65100;24
65200;24
65300;24
65400;24
65500;24
65600;24
65700;24
65800;24
65900;24
66000;24
66100;24
66200;24
66300;24
66400;24
66500;24
66600;23
66700;24
66800;24
66900;24
67000;24
67100;24
67200;24
67300;24
67400;24
67500;24
67600;24
67700;24
67800;24
67900;24
68000;26
68100;25
68200;26
68300;37
68400;28
68500;27
68600;27
68700;27
68800;31
68900;29
69000;28
69100;28
69200;31
69300;29
69400;30
69500;31
69600;33
69700;30
69800;31
69900;30
70000;30
70100;29
70200;29
70300;29
70400;29
70500;29
70600;29
70700;29
70800;29
70900;29
71000;28
71100;28
71200;28
71300;28
71400;30
71500;30
71600;33
71700;34
71800;39
71900;35
72000;31
72100;31
72200;31
72300;31
72400;31
72500;31
72600;31
72700;31
72800;30
72900;30
73000;30
73100;30
73200;30
73300;30
73400;30
73500;29
73600;29
73700;30
73800;29
73900;29
74000;29
74100;29
74200;29
74300;29
74400;29
74500;29
74600;28
74700;29
74800;28
74900;29
75000;29
75100;28
75200;27
75300;27
75400;27
75500;27
75600;40
75700;47
75800;41
75900;50
76000;52
76100;43
76200;39
76300;37
76400;37
76500;37
76600;36
76700;36
76800;36
76900;38
77000;36
77100;36
77200;36
77300;34
77400;35
77500;34
77600;35
77700;36
77800;35
77900;34
78000;34
78100;34
78200;33
78300;33
78400;32
78500;32
78600;32
78700;33
78800;33
78900;33
79000;32
79100;32
79200;31
79300;31
79400;33
79500;32
79600;32
79700;32
79800;32
79900;30
80000;30
80100;31
80200;31
80300;31
80400;31
80500;31
80600;31
80700;31
80800;30
80900;30
81000;30
81100;30
81200;30
81300;30
81400;30
81500;31
81600;30
81700;30
81800;30
81900;30
82000;30
82100;30
82200;29
82300;29
82400;31
82500;29
82600;29
82700;29
82800;29
82900;30
83000;29
83100;29
83200;30
83300;30
83400;30
83500;30
83600;30
83700;29
83800;27
83900;27
84000;27
84100;28
84200;28
84300;27
84400;26
84500;27
84600;27
84700;27
84800;26
84900;27
85000;27
85100;27
85200;27
85300;28
85400;29
85500;32
85600;31
85700;32
85800;32
85900;32
86000;33
86100;33
86200;33
86300;33
86400;33
86500;33
86600;33
86700;33
86800;33
86900;34
87000;33
87100;32
87200;32
87300;32
87400;32
87500;32
87600;31
87700;31
87800;31
87900;31
88000;31
88100;31
88200;32
88300;31
88400;32
88500;32
88600;32
88700;31
88800;32
88900;32
89000;32
89100;32
89200;32
89300;32
89400;32
89500;33
89600;32
89700;32
89800;32
89900;32
90000;32
90100;32
90200;32
90300;32
90400;32
90500;31
90600;31
90700;31
90800;31
90900;31
91000;31
91100;32
91200;31
91300;32
91400;32
91500;31
91600;31
91700;32
91800;32
91900;32
92000;32
92100;32
92200;32
92300;32
92400;46
92500;43
92600;36
92700;35
92800;36
92900;36
93000;36
93100;36
93200;35
93300;35
93400;34
93500;34
93600;35
93700;36
93800;35
93900;35
94000;35
94100;35
94200;36
94300;34
94400;34
94500;34
94600;34
94700;34
94800;34
94900;34
95000;34
95100;34
95200;34
95300;34
95400;34
95500;34
95600;34
95700;33
95800;33
95900;36
96000;33
96100;34
96200;34
96300;34
96400;34
96500;34
96600;33
96700;34
96800;34
96900;33
97000;34
97100;34
97200;34
97300;34
97400;34
97500;34
97600;34
97700;35
97800;34
97900;34
98000;36
98100;34
98200;34
98300;34
98400;34
98500;34
98600;34
98700;34
98800;34
98900;34
99000;33
99100;33
99200;33
99300;33
99400;33
99500;33
99600;33
99700;33
99800;34
99900;34
