size;time1;time2;time3;time4;time5;time6;time7;time8;time9;time10
12948;2300;2148;2146;2145;2145;2179;2145;2145;2145;2145
13212;2396;2251;2250;2255;2330;2252;2207;2206;2205;2455
13481;2280;2278;2278;2390;2350;2278;2277;2279;2416;2362
13756;2372;2373;2411;2378;2371;2385;2464;2383;2412;2383
14036;2437;2436;2454;2452;2436;2598;2445;2457;2435;2515
14322;2551;2585;2552;2717;2658;2679;2606;2734;2669;2668
14614;2729;2795;2769;2734;2888;2791;2791;2792;2917;2793
14912;2803;2811;2903;2866;2867;2839;2867;2865;2865;2937
15216;2924;2858;2925;2991;2923;2923;2976;2926;2924;2924
15526;3340;3118;3112;3171;3112;3113;3111;3127;3114;3111
15842;3229;3173;3233;3289;3232;3231;3233;3231;3231;3231
16165;3462;3354;3362;3406;3352;3356;3454;3354;3354;3356
16494;3494;3330;3348;3327;3328;3333;3386;3325;3326;3426
16830;3497;3488;3567;3488;3487;3631;3488;3488;3536;3582
17173;3580;3749;3680;3671;3763;3737;3706;3948;3641;3577
17523;3733;3711;3693;3820;3704;3776;3818;3835;3862;3891
17880;3954;4070;4005;4009;4084;3983;4007;4013;4005;4003
18244;3979;3925;4008;3926;3924;4066;3926;3954;3980;3926
18616;4051;4160;4047;4163;4059;4055;4223;4097;4047;4132
18995;4272;4341;4276;4258;4764;4261;4258;4282;4307;4292
19382;4368;4382;4477;4376;4404;4365;4369;4471;4382;4455
19777;4584;4588;4611;4581;4649;4570;4592;4625;4583;4825
20180;4823;4925;4819;4818;4949;4818;4968;4818;4886;4835
20591;5013;5019;5009;5043;5010;5293;5028;5046;5013;5010
21011;5378;5300;5277;5291;5429;5288;5399;5278;5414;5278
21439;5546;5480;5541;5480;5486;5480;5480;5585;5493;5869
21876;5742;5851;5741;5752;5754;5865;5757;5806;5744;5850
22322;5994;5998;6000;6009;5986;5996;5991;6058;6006;6236
22777;6423;6217;6317;6221;6398;6209;6369;6222;6406;6226
23241;6447;6427;6430;6456;6425;7413;6415;6751;6413;6434
23715;6649;6597;6749;6601;6694;6601;6688;6715;6599;6784
24198;6952;7099;7126;7188;7255;7181;7345;7227;9544;7797
24691;7550;7340;7516;7496;7199;7544;7213;7435;7489;7233
25194;7557;7641;7523;7598;7538;7546;6657;6529;6764;6544
25708;7034;6962;6805;6936;6931;7149;7142;7070;7176;7119
26232;7228;7483;7391;7443;7448;7395;8265;7396;7392;7495
26767;7829;7811;7864;7828;7947;7884;7826;7909;7828;7482
27313;7798;7864;8030;8309;8577;8624;7812;7826;7948;7795
27870;8175;8278;8133;8179;8340;8154;8226;8284;8140;8131
28438;8641;8566;8535;8652;8596;8629;8542;8618;8614;8522
29018;8940;8954;9009;8858;8919;8909;8977;8876;8856;8960
29610;9365;9371;9416;9345;9580;9359;9368;9318;9344;9403
30214;9822;9998;10284;10031;10299;10272;10160;10215;10252;10252
30830;10549;10804;10744;10845;10726;10686;10740;10848;10870;10762
31459;11167;11169;11316;11246;11122;11193;11170;11307;11218;11192
32101;11480;11629;11570;11645;11547;11154;11034;10964;10992;11011
32756;11674;11699;11765;11799;11916;11629;11696;11620;11640;11585
33424;12196;12200;12192;12127;12412;12493;12556;12637;12677;12695
34106;13162;13144;12719;12978;13734;13575;13739;13890;14209;14126
34802;13187;13131;13838;13801;16267;16309;16263;16392;16399;16267
35512;16883;16994;16871;17114;16948;17041;16951;16910;16891;16933
36236;17383;17339;17406;17435;17597;17439;16815;16664;17090;16862
36975;17201;17228;17473;17747;17297;17311;17172;17298;17312;17278
37729;17965;17874;17938;19492;19409;17902;17951;19681;20318;18656
38498;19466;19894;19877;18239;18131;18765;19043;19226;17755;17835
39283;18907;19279;18946;18946;19180;19030;19030;19033;19552;19385
40084;20693;19559;20791;21538;19568;19229;19453;20041;20052;19985
40902;20238;20353;20635;20399;20243;20343;20283;20391;20253;20299
41736;22046;25009;22892;22660;20842;19095;19225;19191;19194;19089
42587;20082;20064;20060;20102;20012;20009;20328;19924;20035;19979
43456;22492;23484;22799;21543;20863;21195;20910;21041;21952;22458
44342;21554;21793;21619;21691;21500;21557;21680;22778;22530;21660
45246;22581;22821;22433;20543;20459;20530;20630;20576;20703;21035
46169;22058;22095;22108;22135;22374;22256;22255;22393;22355;22159
47111;23307;24790;23028;22491;23085;23389;22324;22895;23024;23239
48072;24315;24337;24536;24475;23946;24166;23355;23391;26880;23344
49053;27682;27758;28361;28787;28639;28930;29129;28986;28918;28994
50054;30341;30368;30334;30411;29150;29848;31620;31239;29022;30002
51075;31990;32434;32612;32781;30242;30095;30642;34541;32321;29482
52117;30832;32206;31897;31983;31111;30527;30520;30524;30543;30506
53180;31935;32168;32561;33300;33001;33260;33506;33507;33423;33453
54265;35077;35787;35454;36098;36351;35741;35566;35471;35302;35555
55372;38743;39898;41514;37922;39953;39463;37980;37137;37499;40001
